"Variables","Importance","Boruta1","Boruta2"
"X1.40_543.1816n",0.02,0,0
"X1.39_275.1586m.z",0.07,0,0
"X1.39_731.2586m.z",0.06,0,0
"X1.39_248.0675m.z",0.34,0,1
"X1.03_246.1802m.z",0.24,0,1
"X1.02_585.1978m.z",0.06,0,0
"X1.02_177.5462m.z",0.02,0,0
"X1.02_284.1957m.z",0.1,0,0
"X1.02_495.1545m.z",0.08,0,0
"X1.09_388.2162m.z",0.04,0,0
"X1.06_354.2120m.z",0.08,0,0
"X1.07_714.2431m.z",0.01,0,0
"X1.07_313.1742m.z",0.07,0,0
"X0.99_731.2585m.z",0.02,0,0
"X0.98_227.0405m.z",0.02,0,0
"X0.97_473.1164m.z",0.02,0,0
"X0.97_560.0893n",0.1,0,0
"X0.98_389.6066m.z",0.02,0,0
"X0.98_266.5651m.z",0.02,0,0
"X0.98_577.1271m.z",0.04,0,0
"X1.10_321.5981m.z",0.01,0,0
"X1.23_162.0752m.z",0.02,0,0
"X1.23_275.1597m.z",0.01,0,0
"X1.26_1006.3554m.z",0.04,0,0
"X1.27_861.3511m.z",0.18,0,0
"X1.21_229.2724m.z",1.34,1,1
"X1.10_603.2370n",0,0,0
"X1.10_261.2692m.z",0.01,0,0
"X1.10_261.1444m.z",0.13,0,0
"X1.11_305.1699m.z",0.02,0,0
"X1.18_755.2689m.z",0.01,0,0
"X1.72_229.2717m.z",1.12,1,1
"X1.70_333.1991m.z",0.07,0,0
"X1.72_685.2488m.z",0.04,0,0
"X1.70_608.2134m.z",0,0,0
"X1.67_86.0597m.z",0.27,0,1
"X1.84_439.1557m.z",0.14,0,0
"X1.82_570.2043m.z",0.04,0,0
"X1.87_247.0434n",0.06,0,0
"X1.87_346.0480n",0.06,0,0
"X1.77_685.2474m.z",0.02,0,0
"X1.79_173.0908m.z",0.09,0,0
"X1.79_782.2983m.z",0.03,0,0
"X1.79_253.1015n",0.09,0,0
"X1.49_311.1791n",0.22,0,1
"X1.49_604.2420m.z",0.01,0,0
"X1.50_169.0793n",0.03,0,0
"X1.49_749.2948n",0.04,0,0
"X1.51_174.1233m.z",0.03,0,0
"X1.51_173.0441m.z",0.05,0,0
"X1.50_266.0716m.z",0.05,0,0
"X1.45_271.1396m.z",0.06,0,0
"X1.44_144.5396m.z",0.02,0,0
"X1.45_204.1339m.z",0.09,0,0
"X1.45_204.2444m.z",0.13,0,0
"X1.48_129.0649m.z",0.06,0,0
"X1.48_742.2731m.z",0.02,0,0
"X1.47_731.2581m.z",0.01,0,0
"X1.59_158.0816m.z",0.02,0,0
"X1.63_772.2838m.z",0.02,0,0
"X1.58_156.0643m.z",0.03,0,0
"X1.54_468.1042n",0.04,0,0
"X1.54_445.0900m.z",0.04,0,0
"X1.52_427.0774m.z",0.01,0,0
"X1.55_569.1976m.z",0.06,0,0
"X1.55_305.0445m.z",0.07,0,0
"X1.55_206.0669m.z",0.08,0,0
"X1.55_153.0182m.z",0.04,0,0
"X0.55_155.1174m.z",0.02,0,0
"X0.64_115.0871m.z",0.13,0,0
"X0.65_714.2411m.z",0.03,0,0
"X0.65_1022.3504m.z",0.03,0,0
"X0.64_692.2560m.z",0.02,0,0
"X0.61_969.3853m.z",0.04,0,0
"X0.60_966.3740m.z",0.01,0,0
"X0.60_819.2742m.z",0.05,0,0
"X0.62_112.0380m.z",0.02,0,0
"X0.62_548.1883n",0.02,0,0
"X0.63_155.0634n",0.04,0,0
"X0.61_592.2396m.z",0.04,0,0
"X0.47_428.9958m.z",0.03,0,0
"X0.47_305.0557m.z",0.01,0,0
"X0.51_223.0244m.z",0.03,0,0
"X0.53_314.7833m.z",0.02,0,0
"X0.86_246.1456m.z",0.08,0,0
